type,省治愈,省治愈,省死亡,name,新增确诊,新增治愈,新增死亡,value,治愈,死亡,date
江苏省,9,0,0,南通,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
江苏省,9,0,0,无锡,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
河南省,9,0,0,巩义,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
河南省,9,0,0,洛阳,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
河南省,9,0,0,三门峡,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
河南省,9,0,0,郑州,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-23
河南省,9,0,0,信阳,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
河南省,9,0,0,周口,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
湖南省,24,0,0,长沙,8.0,0.0,0.0,8.0,0.0,0.0,2020-01-23
湖南省,24,0,0,怀化,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-23
湖南省,24,0,0,永州,4.0,0.0,0.0,4.0,0.0,0.0,2020-01-23
湖南省,24,0,0,郴州,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
湖南省,24,0,0,株洲,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
湖南省,24,0,0,岳阳,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-23
湖南省,24,0,0,湘潭,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
湖南省,24,0,0,娄底,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-23
山西省,1,0,0,太原,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
河北省,2,0,1,石家庄,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
河北省,2,0,1,沧州,1.0,0.0,1.0,1.0,0.0,1.0,2020-01-23
吉林省,3,0,0,长春,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
吉林省,3,0,0,吉林,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
吉林省,3,0,0,松原,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
江西省,7,0,0,抚州,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
江西省,7,0,0,萍乡,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
江西省,7,0,0,南昌,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
江西省,7,0,0,九江,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
江西省,7,0,0,新余,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
江西省,7,0,0,吉安,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
安徽省,15,0,0,合肥,6.0,0.0,0.0,6.0,0.0,0.0,2020-01-23
安徽省,15,0,0,六安,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
安徽省,15,0,0,滁州,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
安徽省,15,0,0,阜阳,2.0,0.0,0.0,2.0,0.0,0.0,2020-01-23
安徽省,15,0,0,亳州,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
安徽省,15,0,0,安庆,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
安徽省,15,0,0,池州,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
安徽省,15,0,0,蚌埠,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
福建省,10,0,0,福州,5.0,0.0,0.0,5.0,0.0,0.0,2020-01-23
福建省,10,0,0,厦门,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-23
福建省,10,0,0,泉州,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
福建省,10,0,0,宁德,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-23
湖北省,730,32,39,武汉,77.0,1.0,15.0,572.0,32.0,38.0,2020-01-24
湖北省,730,32,39,黄冈,52.0,0.0,0.0,64.0,0.0,0.0,2020-01-24
湖北省,730,32,39,孝感,4.0,0.0,0.0,26.0,0.0,0.0,2020-01-24
湖北省,730,32,39,荆门,13.0,0.0,0.0,21.0,0.0,0.0,2020-01-24
湖北省,730,32,39,恩施州,11.0,0.0,0.0,11.0,0.0,0.0,2020-01-24
湖北省,730,32,39,荆州,2.0,0.0,0.0,10.0,0.0,0.0,2020-01-24
湖北省,730,32,39,仙桃,8.0,0.0,0.0,10.0,0.0,0.0,2020-01-24
湖北省,730,32,39,十堰,4.0,0.0,0.0,5.0,0.0,0.0,2020-01-24
湖北省,730,32,39,随州,5.0,0.0,0.0,5.0,0.0,0.0,2020-01-24
湖北省,730,32,39,天门,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
湖北省,730,32,39,宜昌,0.0,0.0,0.0,1.0,0.0,1.0,2020-01-24
湖北省,730,32,39,鄂州,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
湖北省,730,32,39,襄阳,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
广东省,78,2,0,深圳,5.0,0.0,0.0,20.0,2.0,0.0,2020-01-24
广东省,78,2,0,广州,7.0,0.0,0.0,14.0,0.0,0.0,2020-01-24
广东省,78,2,0,珠海,2.0,0.0,0.0,10.0,0.0,0.0,2020-01-24
广东省,78,2,0,佛山,2.0,0.0,0.0,9.0,0.0,0.0,2020-01-24
广东省,78,2,0,惠州,2.0,0.0,0.0,7.0,0.0,0.0,2020-01-24
广东省,78,2,0,阳江,2.0,0.0,0.0,5.0,0.0,0.0,2020-01-24
广东省,78,2,0,韶关,0.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
广东省,78,2,0,湛江,0.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
广东省,78,2,0,中山,0.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
广东省,78,2,0,肇庆,1.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
广东省,78,2,0,清远,1.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
广东省,78,2,0,东莞,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
广东省,78,2,0,汕头,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
黑龙江省,9,0,1,哈尔滨,5.0,0.0,0.0,6.0,0.0,0.0,2020-01-24
黑龙江省,9,0,1,牡丹江,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
黑龙江省,9,0,1,大庆,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
黑龙江省,9,0,1,绥化,0.0,0.0,0.0,1.0,0.0,1.0,2020-01-24
北京市,41,2,0,外地来京人员,1.0,0.0,0.0,11.0,0.0,0.0,2020-01-24
北京市,41,2,0,海淀,4.0,0.0,0.0,8.0,0.0,0.0,2020-01-24
北京市,41,2,0,朝阳,1.0,0.0,0.0,6.0,0.0,0.0,2020-01-24
北京市,41,2,0,西城,0.0,0.0,0.0,4.0,0.0,0.0,2020-01-24
北京市,41,2,0,昌平,0.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
北京市,41,2,0,通州,1.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
北京市,41,2,0,大兴,0.0,1.0,0.0,2.0,2.0,0.0,2020-01-24
北京市,41,2,0,丰台,0.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
北京市,41,2,0,石景山,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
北京市,41,2,0,顺义,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
陕西省,15,0,0,西安,3.0,0.0,0.0,5.0,0.0,0.0,2020-01-24
陕西省,15,0,0,安康,2.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
陕西省,15,0,0,铜川,3.0,0.0,0.0,3.0,0.0,0.0,2020-01-24
陕西省,15,0,0,咸阳,1.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
陕西省,15,0,0,延安,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
陕西省,15,0,0,商洛,1.0,0.0,0.0,1.0,0.0,0.0,2020-01-24
四川省,28,0,0,成都,9.0,0.0,0.0,16.0,0.0,0.0,2020-01-24
四川省,28,0,0,广安,0.0,0.0,0.0,2.0,0.0,0.0,2020-01-24
